Total Reward,Total Profit,Ticket,Model,Start Period,End Period,Risk-Free Rate,Time in Market,Cumulative Return,CAGR﹪,Sharpe,Prob. Sharpe Ratio,Smart Sharpe,Sortino,Smart Sortino,Sortino/√2,Smart Sortino/√2,Omega,Max Drawdown,Longest DD Days,Volatility (ann.),Calmar,Skew,Kurtosis,Expected Daily,Expected Monthly,Expected Yearly,Kelly Criterion,Risk of Ruin,Daily Value-at-Risk,Expected Shortfall (cVaR),Max Consecutive Wins,Max Consecutive Losses,Gain/Pain Ratio,Gain/Pain (1M),Payoff Ratio,Profit Factor,Common Sense Ratio,CPC Index,Tail Ratio,Outlier Win Ratio,Outlier Loss Ratio,MTD,3M,6M,YTD,1Y,3Y (ann.),5Y (ann.),10Y (ann.),All-time (ann.),Best Day,Worst Day,Best Month,Worst Month,Best Year,Worst Year,Avg. Drawdown,Avg. Drawdown Days,Recovery Factor,Ulcer Index,Serenity Index,Avg. Up Month,Avg. Down Month,Win Days,Win Month,Win Quarter,Win Year,Action Sell,Action Buy
285.3000000000376,0.942802763271697,EURUSD60,A2C,2023-04-17,2023-12-04,0.0%,8.0%,-5.72%,-6.25%,-0.26,14.91%,-0.26,-0.35,-0.35,-0.24,-0.24,0.83,-7.81%,187,1.42%,-0.8,-2.48,96.13,-0.0%,-0.65%,-5.72%,-8.65%,0.0%,-0.15%,-0.15%,1,1,-0.21,-0.51,1.09,0.83,-,0.39,-,38.47,1.2,0.86%,-3.07%,-6.24%,-5.72%,-5.72%,-6.25%,-6.25%,-6.25%,-6.25%,0.91%,-1.64%,2.34%,-3.7%,-5.72%,-5.72%,-2.59%,57,0.73,0.04,-0.02,1.39%,-2.25%,43.32%,44.44%,0.0%,0.0%,3650,301
175.20000000001528,0.8657141959754614,EURUSD60,DQN,2023-04-17,2023-12-04,0.0%,15.0%,-13.43%,-14.61%,-1.15,0.0%,-1.15,-1.44,-1.43,-1.02,-1.01,0.57,-13.76%,231,0.79%,-1.06,-2.8,84.03,-0.0%,-1.59%,-13.43%,-27.21%,0.0%,-0.09%,-0.09%,1,1,-0.62,-0.93,1.02,0.57,0.01,0.21,0.02,26.75,1.91,0.26%,-5.66%,-10.87%,-13.43%,-13.43%,-14.61%,-14.61%,-14.61%,-14.61%,0.52%,-1.08%,0.75%,-4.5%,-13.43%,-13.43%,-13.76%,231,1.04,0.07,-0.01,0.51%,-2.17%,35.82%,22.22%,0.0%,0.0%,1101,2850
-631.0000000000095,0.7577541328868922,EURUSD60,PPO,2023-04-17,2023-12-04,0.0%,23.0%,-24.22%,-26.21%,-1.54,0.0%,-1.53,-1.94,-1.93,-1.38,-1.36,0.53,-24.47%,231,1.14%,-1.07,-0.89,38.24,-0.01%,-3.04%,-24.22%,-30.88%,0.0%,-0.13%,-0.13%,1,1,-0.7,-1.0,1.0,0.53,0.2,0.18,0.38,21.84,2.65,-0.44%,-11.99%,-21.29%,-24.22%,-24.22%,-26.21%,-26.21%,-26.21%,-26.21%,0.81%,-0.9%,-0.44%,-6.56%,-24.22%,-24.22%,-24.47%,231,1.13,0.14,-0.01,-,-3.01%,34.55%,0.0%,0.0%,0.0%,2537,1414
-200.39999999996502,0.9576609915059829,EURUSD60,TR-DQN,2023-04-17,2023-12-04,0.0%,4.0%,-4.06%,-4.44%,-1.11,0.0%,-1.1,-1.28,-1.27,-0.9,-0.9,0.32,-4.06%,228,0.24%,-1.09,-6.1,164.08,-0.0%,-0.46%,-4.06%,-54.42%,0.0%,-0.03%,-0.03%,1,1,-0.73,-1.0,0.92,0.32,-,0.08,-,0.0,0.97,-0.12%,-1.81%,-3.31%,-4.06%,-4.06%,-4.44%,-4.44%,-4.44%,-4.44%,0.2%,-0.33%,-0.05%,-0.8%,-4.06%,-4.06%,-4.06%,228,1.02,0.02,-0.01,-,-0.46%,25.93%,0.0%,0.0%,0.0%,144,3807
-239.8999999999929,0.9602153991396162,GBPUSD60,A2C,2023-04-17,2023-12-04,0.0%,2.0%,-3.98%,-4.35%,-0.17,24.7%,-0.17,-0.22,-0.22,-0.16,-0.16,0.81,-6.11%,156,1.45%,-0.71,-2.67,205.07,-0.0%,-0.45%,-3.98%,-11.54%,0.0%,-0.15%,-0.15%,1,1,-0.21,-0.43,0.87,0.81,-,0.34,-,0.0,0.01,0.07%,-1.18%,-2.14%,-3.98%,-3.98%,-4.35%,-4.35%,-4.35%,-4.35%,1.72%,-1.93%,2.71%,-4.01%,-3.98%,-3.98%,-5.42%,108,0.64,0.03,-0.03,1.28%,-1.8%,48.1%,44.44%,33.33%,0.0%,3872,79
-131.60000000001205,0.9487294014577096,GBPUSD60,DQN,2023-04-17,2023-12-04,0.0%,4.0%,-5.13%,-5.6%,-0.23,17.36%,-0.23,-0.29,-0.29,-0.21,-0.21,0.8,-7.18%,231,1.41%,-0.78,-4.68,156.98,-0.0%,-0.58%,-5.13%,-12.2%,0.0%,-0.15%,-0.15%,1,1,-0.23,-0.54,0.87,0.8,-,0.33,-,29.34,0.51,-0.24%,-0.67%,-3.32%,-5.13%,-5.13%,-5.6%,-5.6%,-5.6%,-5.6%,1.32%,-1.75%,3.0%,-3.71%,-5.13%,-5.13%,-7.18%,231,0.71,0.03,-0.02,1.42%,-1.56%,47.86%,33.33%,33.33%,0.0%,3806,145
233.79999999997543,0.8054274220623565,GBPUSD60,PPO,2023-04-17,2023-12-04,0.0%,23.0%,-19.46%,-21.11%,-1.42,0.0%,-1.41,-1.75,-1.73,-1.23,-1.22,0.56,-19.62%,231,0.97%,-1.08,-2.04,43.92,-0.01%,-2.38%,-19.46%,-30.41%,0.0%,-0.11%,-0.11%,1,1,-0.69,-0.94,0.87,0.56,0.26,0.19,0.46,20.13,2.49,0.51%,-5.84%,-14.75%,-19.46%,-19.46%,-21.11%,-21.11%,-21.11%,-21.11%,0.6%,-0.99%,0.88%,-5.66%,-19.46%,-19.46%,-19.62%,231,1.1,0.12,-0.01,0.7%,-3.23%,39.42%,22.22%,0.0%,0.0%,1398,2553
-47.40000000002013,0.9596249899183869,GBPUSD60,TR-DQN,2023-04-17,2023-12-04,0.0%,3.0%,-4.04%,-4.42%,-0.19,21.92%,-0.19,-0.26,-0.26,-0.18,-0.18,0.82,-6.18%,162,1.31%,-0.71,-1.79,134.82,-0.0%,-0.46%,-4.04%,-9.53%,0.0%,-0.14%,-0.14%,1,1,-0.19,-0.37,1.05,0.82,-,0.38,-,10.38,0.45,-0.24%,-1.22%,-3.12%,-4.04%,-4.04%,-4.42%,-4.42%,-4.42%,-4.42%,1.33%,-1.63%,4.28%,-4.44%,-4.04%,-4.04%,-4.09%,77,0.65,0.03,-0.02,2.25%,-1.77%,43.81%,33.33%,33.33%,0.0%,3843,108
400.3000000000181,0.9778291186373967,USDCAD60,A2C,2023-04-17,2023-12-04,0.0%,4.0%,-2.22%,-2.43%,-0.11,33.54%,-0.11,-0.16,-0.16,-0.11,-0.11,0.9,-6.05%,138,1.24%,-0.4,3.63,166.31,-0.0%,-0.25%,-2.22%,-5.0%,0.0%,-0.13%,-0.13%,1,1,-0.11,-0.29,1.1,0.9,-,0.45,-,21.38,0.58,0.71%,-0.04%,-1.78%,-2.22%,-2.22%,-2.43%,-2.43%,-2.43%,-2.43%,1.71%,-1.12%,2.64%,-3.21%,-2.22%,-2.22%,-1.99%,37,0.35,0.03,-0.01,1.29%,-1.46%,44.9%,44.44%,33.33%,0.0%,3795,156
-641.000000000018,0.8504618396710256,USDCAD60,DQN,2023-04-17,2023-12-04,0.0%,16.0%,-14.95%,-16.26%,-1.28,0.0%,-1.27,-1.63,-1.62,-1.15,-1.14,0.56,-14.95%,231,0.8%,-1.09,-0.5,31.79,-0.0%,-1.78%,-14.95%,-30.69%,0.0%,-0.09%,-0.09%,1,1,-0.64,-1.0,0.89,0.56,0.12,0.19,0.21,25.88,1.94,-0.3%,-4.87%,-12.5%,-14.95%,-14.95%,-16.26%,-16.26%,-16.26%,-16.26%,0.49%,-0.53%,-0.3%,-2.85%,-14.95%,-14.95%,-14.95%,231,1.08,0.09,-0.01,-,-1.78%,38.62%,0.0%,0.0%,0.0%,1743,2208
1274.9999999999898,0.8402368403623249,USDCAD60,PPO,2023-04-17,2023-12-04,0.0%,25.0%,-15.97%,-17.36%,-1.33,0.0%,-1.32,-1.77,-1.75,-1.25,-1.24,0.6,-16.24%,231,0.83%,-1.07,1.05,50.97,-0.0%,-1.92%,-15.97%,-26.12%,0.0%,-0.09%,-0.09%,1,1,-0.62,-1.0,0.92,0.6,0.32,0.22,0.52,18.56,2.39,0.01%,-6.69%,-13.32%,-15.97%,-15.97%,-17.36%,-17.36%,-17.36%,-17.36%,0.88%,-0.53%,0.01%,-4.58%,-15.97%,-15.97%,-16.24%,231,1.07,0.09,-0.01,0.01%,-2.14%,39.59%,11.11%,0.0%,0.0%,2077,1874
595.0999999999686,0.9937627764860348,USDCAD60,TR-DQN,2023-04-17,2023-12-04,0.0%,3.0%,-0.62%,-0.68%,-0.17,25.35%,-0.17,-0.26,-0.26,-0.18,-0.18,0.82,-1.6%,146,0.23%,-0.42,5.37,318.31,-0.0%,-0.07%,-0.62%,-8.47%,0.0%,-0.02%,-0.02%,1,1,-0.19,-0.38,1.34,0.82,-,0.41,-,0.0,0.34,0.12%,-0.72%,-0.76%,-0.62%,-0.62%,-0.68%,-0.68%,-0.68%,-0.68%,0.43%,-0.31%,0.5%,-0.36%,-0.62%,-0.62%,-0.38%,34,0.39,0.01,-0.01,0.34%,-0.27%,37.89%,33.33%,33.33%,0.0%,100,3851
130.50000000001614,0.7429378668396237,USDCHF60,A2C,2023-04-17,2023-12-04,0.0%,24.0%,-25.71%,-27.79%,-1.58,0.0%,-1.57,-2.03,-2.01,-1.43,-1.42,0.52,-25.82%,231,1.19%,-1.08,-0.38,49.21,-0.01%,-3.25%,-25.71%,-31.14%,0.0%,-0.13%,-0.13%,1,1,-0.71,-1.0,1.0,0.52,0.21,0.18,0.4,21.93,2.68,0.02%,-11.83%,-19.52%,-25.71%,-25.71%,-27.79%,-27.79%,-27.79%,-27.79%,0.99%,-1.2%,0.02%,-6.57%,-25.71%,-25.71%,-25.82%,231,1.15,0.16,-0.01,0.02%,-3.63%,34.29%,11.11%,0.0%,0.0%,1805,2146
-326.19999999999305,0.9522301313721325,USDCHF60,DQN,2023-04-17,2023-12-04,0.0%,4.0%,-4.88%,-5.34%,-1.23,0.0%,-1.23,-1.37,-1.37,-0.97,-0.97,0.27,-4.93%,227,0.26%,-1.08,-5.7,154.08,-0.0%,-0.55%,-4.88%,-79.19%,0.0%,-0.03%,-0.03%,1,1,-0.82,-1.0,0.65,0.27,-,0.05,-,0.0,0.88,0.0%,-2.49%,-4.3%,-4.88%,-4.88%,-5.34%,-5.34%,-5.34%,-5.34%,0.33%,-0.35%,0.0%,-1.2%,-4.88%,-4.88%,-4.93%,227,1.01,0.02,-0.01,-,-0.62%,29.13%,0.0%,0.0%,0.0%,140,3811
-330.10000000001776,0.7154540578161144,USDCHF60,PPO,2023-04-17,2023-12-04,0.0%,25.0%,-28.45%,-30.71%,-1.77,0.0%,-1.75,-2.3,-2.27,-1.62,-1.6,0.51,-28.81%,231,1.2%,-1.07,0.54,32.95,-0.01%,-3.65%,-28.45%,-31.96%,0.0%,-0.13%,-0.13%,1,1,-0.76,-0.99,1.04,0.51,0.17,0.17,0.34,20.39,2.56,0.22%,-13.23%,-21.44%,-28.45%,-28.45%,-30.71%,-30.71%,-30.71%,-30.71%,0.97%,-0.8%,0.22%,-7.91%,-28.45%,-28.45%,-28.81%,231,1.16,0.18,-0.0,0.22%,-4.1%,32.76%,11.11%,0.0%,0.0%,2201,1750
-1248.0999999999865,0.8330758049974074,USDCHF60,TR-DQN,2023-04-17,2023-12-04,0.0%,10.0%,-16.69%,-18.14%,-0.86,0.06%,-0.86,-1.16,-1.15,-0.82,-0.82,0.58,-17.75%,231,1.34%,-1.02,0.97,75.3,-0.0%,-2.01%,-16.69%,-25.72%,0.0%,-0.14%,-0.14%,1,1,-0.5,-0.95,1.04,0.58,0.0,0.22,0.0,29.43,1.89,0.28%,-6.89%,-11.8%,-16.69%,-16.69%,-18.14%,-18.14%,-18.14%,-18.14%,1.39%,-1.08%,0.73%,-5.32%,-16.69%,-16.69%,-17.75%,231,1.02,0.11,-0.01,0.51%,-2.69%,36.0%,22.22%,0.0%,0.0%,3335,616
48099.99999999901,0.9704950024795624,USDJPY60,A2C,2023-04-17,2023-12-04,0.0%,23.0%,-2.95%,-3.22%,-0.18,23.45%,-0.18,-0.27,-0.27,-0.19,-0.19,0.92,-4.9%,223,1.01%,-0.66,1.54,64.74,-0.0%,-0.33%,-2.95%,-3.87%,0.0%,-0.1%,-0.1%,1,1,-0.15,-0.46,1.03,0.92,0.78,0.45,0.84,20.15,2.64,0.53%,-0.63%,0.73%,-2.95%,-2.95%,-3.22%,-3.22%,-3.22%,-3.22%,1.16%,-0.91%,1.39%,-2.7%,-2.95%,-2.95%,-1.9%,77,0.59,0.04,-0.01,0.85%,-1.27%,47.19%,44.44%,66.67%,0.0%,1403,2548
-14939.99999998356,0.9500534702606271,USDJPY60,DQN,2023-04-17,2023-12-04,0.0%,17.0%,-4.99%,-5.46%,-0.34,9.5%,-0.34,-0.5,-0.5,-0.36,-0.36,0.85,-6.73%,230,0.94%,-0.81,3.26,113.76,-0.0%,-0.57%,-4.99%,-8.23%,0.0%,-0.1%,-0.1%,1,1,-0.25,-0.6,1.02,0.85,0.62,0.39,0.73,21.84,2.27,-0.13%,-1.46%,-2.25%,-4.99%,-4.99%,-5.46%,-5.46%,-5.46%,-5.46%,1.42%,-0.71%,1.72%,-2.07%,-4.99%,-4.99%,-3.4%,116,0.75,0.04,-0.01,1.69%,-1.2%,45.45%,22.22%,33.33%,0.0%,1401,2550
-2110.0000000035543,0.9550670605539905,USDJPY60,PPO,2023-04-17,2023-12-04,0.0%,25.0%,-4.49%,-4.91%,-0.24,17.62%,-0.24,-0.33,-0.33,-0.23,-0.23,0.91,-10.01%,197,1.21%,-0.49,0.17,52.2,-0.0%,-0.51%,-4.49%,-4.7%,0.0%,-0.13%,-0.13%,1,1,-0.19,-0.48,1.01,0.91,0.81,0.44,0.89,17.66,2.64,0.2%,-0.11%,-6.17%,-4.49%,-4.49%,-4.91%,-4.91%,-4.91%,-4.91%,1.16%,-1.16%,2.86%,-3.14%,-4.49%,-4.49%,-1.06%,19,0.45,0.06,-0.01,1.23%,-1.87%,47.43%,44.44%,33.33%,0.0%,2048,1903
111489.999999999,0.9915495096903895,USDJPY60,TR-DQN,2023-04-17,2023-12-04,0.0%,20.0%,-0.84%,-0.92%,-0.04,43.42%,-0.04,-0.06,-0.06,-0.04,-0.04,0.98,-5.0%,222,1.13%,-0.18,-0.22,82.48,-0.0%,-0.09%,-0.84%,-0.93%,0.0%,-0.12%,-0.12%,1,1,-0.03,-0.18,1.09,0.98,0.86,0.51,0.88,21.28,2.37,0.91%,3.09%,0.93%,-0.84%,-0.84%,-0.92%,-0.92%,-0.92%,-0.92%,1.28%,-1.16%,1.76%,-2.06%,-0.84%,-0.84%,-1.93%,77,0.15,0.03,-0.0,0.87%,-0.85%,47.34%,44.44%,33.33%,0.0%,2027,1924
