66,67,68,69,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Total Reward,Total Profit,Ticket,Model,Start Period,End Period,Risk-Free Rate,Time in Market,Cumulative Return,CAGR﹪,Sharpe,Prob. Sharpe Ratio,Smart Sharpe,Sortino,Smart Sortino,Sortino/√2,Smart Sortino/√2,Omega,Max Drawdown,Longest DD Days,Volatility (ann.),Calmar,Skew,Kurtosis,Expected Daily,Expected Monthly,Expected Yearly,Kelly Criterion,Risk of Ruin,Daily Value-at-Risk,Expected Shortfall (cVaR),Max Consecutive Wins,Max Consecutive Losses,Gain/Pain Ratio,Gain/Pain (1M),Payoff Ratio,Profit Factor,Common Sense Ratio,CPC Index,Tail Ratio,Outlier Win Ratio,Outlier Loss Ratio,MTD,3M,6M,YTD,1Y,3Y (ann.),5Y (ann.),10Y (ann.),All-time (ann.),Best Day,Worst Day,Best Month,Worst Month,Best Year,Worst Year,Avg. Drawdown,Avg. Drawdown Days,Recovery Factor,Ulcer Index,Serenity Index,Avg. Up Month,Avg. Down Month,Win Days,Win Month,Win Quarter,Win Year,Action Sell,Action Buy
-61.19999999999705,0.8476846359866231, EURUSD5,A2C,2023-11-14,2023-12-01,0.0%,16.0%,-15.23%,-91.37%,-3.05,0.0%,-2.94,-3.31,-3.19,-2.34,-2.26,0.22,-15.23%,18,0.36%,-6.0,-3.4,43.96,-0.0%,-7.93%,-15.23%,-71.29%,0.0%,-0.04%,-0.04%,1,1,-1.0,-1.0,0.87,0.22,0.0,0.04,0.0,31.98,2.11,-1.55%,-15.23%,-15.23%,-15.23%,-15.23%,-91.37%,-91.37%,-91.37%,-91.37%,0.19%,-0.37%,-1.55%,-13.9%,-15.23%,-15.23%,-15.23%,18,1.08,0.09,-0.0,-,-7.72%,20.24%,0.0%,0.0%,0.0%,3045,731
-28.899999999965093,0.9336391898048766, EURUSD5,DQN,2023-11-14,2023-12-01,0.0%,7.0%,-6.64%,-63.86%,-1.34,0.0%,-1.33,-1.67,-1.66,-1.18,-1.17,0.33,-6.85%,18,0.34%,-9.33,0.26,145.69,-0.0%,-3.37%,-6.64%,-45.78%,0.0%,-0.04%,-0.04%,1,1,-0.96,-1.0,1.14,0.33,-,0.08,-,15.72,1.29,-0.23%,-6.64%,-6.64%,-6.64%,-6.64%,-63.86%,-63.86%,-63.86%,-63.86%,0.49%,-0.33%,-0.23%,-6.42%,-6.64%,-6.64%,-6.85%,18,1.0,0.04,-0.0,-,-3.33%,22.5%,0.0%,0.0%,0.0%,3467,309
0,9633.985000000072,EURUSD5,GRU,2020-01-01,2034-06-19,0.0%,100.0%,-3.66%,-0.18%,-38.91,0.0%,-24.33,-14.83,-9.27,-10.49,-6.56,0.01,-3.67%,5257,0.01%,-0.05,2.52,39.65,-0.0%,-0.02%,-0.25%,-171.98%,0.0%,-0.0%,-0.0%,3,557,-0.99,-1.0,0.57,0.01,0.0,0.0,0.25,0.24,1.92,-0.0%,-0.05%,-0.13%,-0.12%,-0.26%,-0.2%,-0.19%,-0.18%,-0.18%,0.01%,-0.0%,0.0%,-0.03%,-0.12%,-0.3%,-0.92%,1319,1.02,0.02,-0.0,0.0%,-0.02%,1.38%,0.57%,0.0%,0.0%,0,0
0,9605.839000000064,EURUSD5,LSTM,2020-01-01,2034-06-19,0.0%,100.0%,-3.94%,-0.19%,-42.05,0.0%,-25.31,-14.97,-9.01,-10.58,-6.37,0.01,-3.95%,5257,0.01%,-0.05,2.59,42.0,-0.0%,-0.02%,-0.27%,-163.54%,0.0%,-0.0%,-0.0%,3,557,-0.99,-1.0,0.6,0.01,0.0,0.0,0.29,0.02,1.86,-0.01%,-0.06%,-0.14%,-0.13%,-0.28%,-0.21%,-0.2%,-0.2%,-0.19%,0.01%,-0.0%,0.0%,-0.04%,-0.13%,-0.31%,-0.99%,1319,1.02,0.02,-0.0,0.0%,-0.02%,1.09%,0.57%,0.0%,0.0%,0,0
-46.000000000034845,0.7857373075199054, EURUSD5,PPO,2023-11-14,2023-12-01,0.0%,23.0%,-21.43%,-97.2%,-4.35,0.0%,-4.04,-4.6,-4.26,-3.25,-3.02,0.15,-21.35%,18,0.37%,-4.55,-2.32,39.67,-0.01%,-11.36%,-21.43%,-85.96%,0.0%,-0.04%,-0.04%,1,1,-1.0,-1.0,0.83,0.15,0.0,0.02,0.0,24.19,2.35,-1.99%,-21.43%,-21.43%,-21.43%,-21.43%,-97.2%,-97.2%,-97.2%,-97.2%,0.28%,-0.37%,-1.99%,-19.83%,-21.43%,-21.43%,-21.35%,18,1.13,0.13,-0.0,-,-10.91%,15.62%,0.0%,0.0%,0.0%,2393,1383
-116.80000000000568,0.883051301955549, EURUSD5,TR-DQN,2023-11-14,2023-12-01,0.0%,12.0%,-11.69%,-84.18%,-2.43,0.0%,-2.38,-2.72,-2.66,-1.92,-1.88,0.24,-11.69%,18,0.34%,-7.2,-4.04,78.41,-0.0%,-6.03%,-11.69%,-61.7%,0.0%,-0.04%,-0.04%,1,1,-1.0,-1.0,1.0,0.24,0.0,0.05,0.0,28.44,1.94,-0.74%,-11.69%,-11.69%,-11.69%,-11.69%,-84.18%,-84.18%,-84.18%,-84.18%,0.22%,-0.43%,-0.74%,-11.04%,-11.69%,-11.69%,-11.69%,18,1.06,0.07,-0.0,-,-5.89%,19.16%,0.0%,0.0%,0.0%,3193,583
-6.500000000060606,0.7976817936821686, GBPUSD5,A2C,2023-11-14,2023-12-01,0.0%,24.0%,-20.23%,-96.49%,-4.75,0.0%,-4.34,-4.86,-4.44,-3.44,-3.14,0.14,-20.23%,18,0.32%,-4.77,-2.38,17.38,-0.01%,-10.69%,-20.23%,-96.38%,0.0%,-0.04%,-0.04%,1,1,-1.0,-1.0,0.75,0.14,0.0,0.02,0.0,26.07,2.4,-1.58%,-20.23%,-20.23%,-20.23%,-20.23%,-96.49%,-96.49%,-96.49%,-96.49%,0.16%,-0.21%,-1.58%,-18.95%,-20.23%,-20.23%,-20.23%,18,1.12,0.12,-0.0,-,-10.27%,16.11%,0.0%,0.0%,0.0%,1501,2275
409.09999999994477,0.8903385501913685, GBPUSD5,DQN,2023-11-14,2023-12-01,0.0%,14.0%,-10.9%,-81.93%,-3.0,0.0%,-2.89,-3.28,-3.16,-2.32,-2.24,0.2,-10.9%,18,0.26%,-7.52,-2.88,48.98,-0.0%,-5.61%,-10.9%,-75.75%,0.0%,-0.03%,-0.03%,1,1,-1.0,-1.0,0.86,0.2,0.0,0.03,0.0,30.32,1.95,-1.38%,-10.9%,-10.9%,-10.9%,-10.9%,-81.93%,-81.93%,-81.93%,-81.93%,0.2%,-0.24%,-1.38%,-9.65%,-10.9%,-10.9%,-10.9%,18,1.06,0.06,-0.0,-,-5.52%,18.55%,0.0%,0.0%,0.0%,713,3063
0,9652.936000000029,GBPUSD5,GRU,2020-01-01,2034-06-19,0.0%,100.0%,-3.47%,-0.17%,-27.48,0.0%,-16.58,-14.11,-8.52,-9.98,-6.02,0.02,-3.48%,5250,0.01%,-0.05,3.49,56.57,-0.0%,-0.02%,-0.24%,-149.32%,0.0%,-0.0%,-0.0%,5,272,-0.98,-1.0,0.63,0.02,0.0,0.0,0.1,0.9,2.18,0.0%,-0.04%,-0.11%,-0.1%,-0.24%,-0.19%,-0.18%,-0.17%,-0.17%,0.01%,-0.0%,0.01%,-0.03%,-0.1%,-0.28%,-0.87%,1317,1.01,0.02,-0.0,0.01%,-0.02%,3.31%,1.15%,0.0%,0.0%,0,0
0,9657.702000000034,GBPUSD5,LSTM,2020-01-01,2034-06-19,0.0%,100.0%,-3.42%,-0.17%,-27.22,0.0%,-16.32,-14.09,-8.45,-9.96,-5.97,0.02,-3.44%,5250,0.01%,-0.05,3.52,57.27,-0.0%,-0.02%,-0.23%,-149.32%,0.0%,-0.0%,-0.0%,5,272,-0.98,-1.0,0.63,0.02,0.0,0.0,0.1,0.98,2.19,0.0%,-0.04%,-0.11%,-0.1%,-0.23%,-0.18%,-0.17%,-0.17%,-0.17%,0.01%,-0.0%,0.01%,-0.03%,-0.1%,-0.28%,-0.86%,1317,1.01,0.02,-0.0,0.01%,-0.02%,3.42%,1.15%,0.0%,0.0%,0,0
-154.4000000001008,0.7899698880063429, GBPUSD5,PPO,2023-11-14,2023-12-01,0.0%,25.0%,-20.95%,-96.93%,-4.71,0.0%,-4.32,-4.83,-4.42,-3.42,-3.13,0.14,-20.95%,18,0.33%,-4.63,-3.0,34.15,-0.01%,-11.09%,-20.95%,-96.0%,0.0%,-0.04%,-0.04%,1,1,-1.0,-1.0,0.75,0.14,0.0,0.02,0.0,25.15,2.36,-1.58%,-20.95%,-20.95%,-20.95%,-20.95%,-96.93%,-96.93%,-96.93%,-96.93%,0.18%,-0.32%,-1.58%,-19.68%,-20.95%,-20.95%,-20.95%,18,1.12,0.13,-0.0,-,-10.63%,16.23%,0.0%,0.0%,0.0%,1686,2090
-126.49999999999602,0.9637914323744016, GBPUSD5,TR-DQN,2023-11-14,2023-12-01,0.0%,3.0%,-3.62%,-42.11%,-0.64,0.32%,-0.64,-0.76,-0.76,-0.54,-0.54,0.48,-4.08%,16,0.38%,-10.32,-5.88,154.6,-0.0%,-1.83%,-3.62%,-36.72%,0.0%,-0.04%,-0.04%,1,1,-0.81,-1.0,0.94,0.48,-,0.15,-,0.0,0.5,-0.69%,-3.62%,-3.62%,-3.62%,-3.62%,-42.11%,-42.11%,-42.11%,-42.11%,0.34%,-0.47%,-0.69%,-2.95%,-3.62%,-3.62%,-1.49%,6,0.9,0.02,-0.01,-,-1.82%,33.71%,0.0%,0.0%,0.0%,3687,89
266.70000000006195,0.9093720822471543, USDCAD5,A2C,2023-11-14,2023-12-01,0.0%,14.0%,-9.06%,-75.54%,-2.16,0.0%,-2.12,-2.49,-2.44,-1.76,-1.73,0.32,-9.17%,18,0.29%,-8.24,-2.52,41.08,-0.0%,-4.64%,-9.06%,-52.06%,0.0%,-0.03%,-0.03%,1,1,-1.0,-1.0,0.97,0.32,0.0,0.08,0.0,32.08,2.14,-0.45%,-9.06%,-9.06%,-9.06%,-9.06%,-75.54%,-75.54%,-75.54%,-75.54%,0.18%,-0.24%,-0.45%,-8.65%,-9.06%,-9.06%,-4.59%,10,1.04,0.06,-0.0,-,-4.55%,25.05%,0.0%,0.0%,0.0%,3163,613
-124.50000000002957,0.9739230046093741, USDCAD5,DQN,2023-11-14,2023-12-01,0.0%,4.0%,-2.58%,-32.17%,-2.01,0.0%,-1.98,-2.11,-2.08,-1.49,-1.47,0.09,-2.64%,17,0.09%,-12.19,-6.35,105.92,-0.0%,-1.3%,-2.58%,-106.45%,0.0%,-0.01%,-0.01%,1,1,-1.0,-1.0,0.76,0.09,-,0.01,-,0.0,1.13,-0.13%,-2.58%,-2.58%,-2.58%,-2.58%,-32.17%,-32.17%,-32.17%,-32.17%,0.08%,-0.1%,-0.13%,-2.45%,-2.58%,-2.58%,-2.64%,17,0.99,0.01,-0.0,-,-1.29%,10.94%,0.0%,0.0%,0.0%,143,3633
0,9627.808000000086,USDCAD5,GRU,2020-01-01,2034-06-19,0.0%,100.0%,-3.72%,-0.18%,-37.12,0.0%,-23.33,-14.65,-9.21,-10.36,-6.51,0.01,-3.72%,5283,0.01%,-0.05,0.34,7.15,-0.0%,-0.02%,-0.25%,-232.69%,0.0%,-0.0%,-0.0%,4,492,-0.99,-1.0,0.42,0.01,0.0,0.0,0.2,0.49,2.15,-0.02%,-0.09%,-0.16%,-0.15%,-0.3%,-0.19%,-0.19%,-0.18%,-0.18%,0.0%,-0.0%,-0.01%,-0.04%,-0.15%,-0.29%,-3.72%,5283,1.02,0.02,-0.0,-,-0.02%,1.83%,0.0%,0.0%,0.0%,0,0
0,9628.168000000085,USDCAD5,LSTM,2020-01-01,2034-06-19,0.0%,100.0%,-3.72%,-0.18%,-37.08,0.0%,-23.32,-14.65,-9.21,-10.36,-6.51,0.01,-3.72%,5283,0.01%,-0.05,0.33,7.13,-0.0%,-0.02%,-0.25%,-228.43%,0.0%,-0.0%,-0.0%,4,492,-0.99,-1.0,0.43,0.01,0.0,0.0,0.2,0.48,2.17,-0.02%,-0.09%,-0.17%,-0.15%,-0.31%,-0.19%,-0.19%,-0.18%,-0.18%,0.0%,-0.0%,-0.01%,-0.04%,-0.15%,-0.29%,-3.72%,5283,1.02,0.02,-0.0,-,-0.02%,1.78%,0.0%,0.0%,0.0%,0,0
-43.300000000030366,0.8202445638015142, USDCAD5,PPO,2023-11-14,2023-12-01,0.0%,25.0%,-17.98%,-94.7%,-5.09,0.0%,-4.59,-5.14,-4.64,-3.64,-3.28,0.12,-17.97%,18,0.26%,-5.27,-2.34,18.5,-0.01%,-9.43%,-17.98%,-108.88%,0.0%,-0.03%,-0.03%,1,1,-1.0,-1.0,0.68,0.12,0.0,0.01,0.0,24.68,2.27,-1.1%,-17.98%,-17.98%,-17.98%,-17.98%,-94.7%,-94.7%,-94.7%,-94.7%,0.12%,-0.22%,-1.1%,-17.06%,-17.98%,-17.98%,-17.97%,18,1.1,0.11,-0.0,-,-9.08%,15.5%,0.0%,0.0%,0.0%,1544,2232
116.49999999993273,0.9151905797894802, USDCAD5,TR-DQN,2023-11-14,2023-12-01,0.0%,13.0%,-8.48%,-73.12%,-1.78,0.0%,-1.76,-2.32,-2.29,-1.64,-1.62,0.33,-8.78%,17,0.33%,-8.33,2.18,130.27,-0.0%,-4.33%,-8.48%,-38.22%,0.0%,-0.04%,-0.04%,1,1,-1.0,-1.0,1.41,0.33,0.0,0.09,0.0,23.18,1.79,-0.17%,-8.48%,-8.48%,-8.48%,-8.48%,-73.12%,-73.12%,-73.12%,-73.12%,0.49%,-0.26%,-0.17%,-8.32%,-8.48%,-8.48%,-4.43%,9,1.01,0.05,-0.0,-,-4.25%,19.21%,0.0%,0.0%,0.0%,3174,602
